Number;Start time in milliseconds;End time in milliseconds;Text
636;3120120;3122490;"the point of impact was here."
637;3122950;3127890;"at eight fourty two pm it fell right around where people were gathered for the festival."
639;3132070;3134300;"over five hundred died."
640;3134300;3136880;"it was a third of the town's population"
641;3136880;3138880;"and now nobody lives in itomori anymore."
642;3148170;3150200;"teshigawara"
643;3150200;3151690;"and sayaka."
645;3156540;3157710;"that's her"
646;3157710;3159940;"you were wrong you gotta be"
647;3159940;3163700;"after all this girl here died three years ago"
648;3163700;3168420;"just two or three weeks ago she said that i'd be able to see the comet."
649;3168950;3170670;"that means "
650;3170670;3175920;"you're dreaming right now aren't you i"
651;3176440;3179640;"i"
652;3179640;3180640;"what"
653;3180640;3181370;"was i"
654;3195100;3196970;"sounds lively over there."
655;3196970;3199970;"they only have one room left. i'm really sorry."
656;3199970;3201880;"it's not a problem."
657;3202340;3203600;"how's taki"
658;3203600;3206210;"he's still reading articles on itomori."
659;3206210;3210890;"he's goin' through all those newspapers and magazines at random. seems obsessive."
660;3215290;3218380;"what is it oh sorry. you smoke huh"
661;3218690;3222070;"yeah. i did quit at one point."
662;3223020;3226100;"what do you think about what taki's been saying"
663;3228820;3231550;"i had feelings for him y'know."
664;3231550;3233780;"the way he's been recently."
665;3233780;3237750;"i mean he was a nice guy before but he's even nicer now."
666;3238370;3240770;"kind of frantic."
667;3240770;3242800;"it was cute."
668;3242800;3247480;"although i do think what he's been telling us is definitely strange sounding."
669;3249250;3255440;"but in the end the fact remains that taki's met someone and that someone is the reason he changed."
670;3255840;3259700;"that much is for sure."
672;3273220;3275720;"it was all just a dream."
673;3276590;3278590;"i recognized the landscape"
674;3278590;3283110;"because i unconsciously remembered the news from three years ago."
675;3283960;3286870;"if it's not that is she a ghost"
676;3287260;3288890;"or"
677;3288890;3290780;"did i just make it up"
678;3290780;3292440;"the whole thing"
679;3295770;3298300;"what was her name"
680;3298300;3300300;"i can't remember."
681;3302020;3304630;"tsukasa said he was gonna go ahead and take a bath."
682;3304700;3306420;"ms. okudera"
683;3306420;3307530;"uh"
684;3307530;3309080;"i um"
685;3309080;3312590;"i realize i've been saying a lot of strange things."
686;3312590;3315100;"i'm really sorry and thank you."
689;3323360;3325810;"braided cords. pretty."
690;3326530;3328540;"that band on your wrist."
691;3328540;3331490;"that's one isn't it hm oh."
692;3331490;3333230;"this thing guess so."
693;3333230;3334620;"somebody"
694;3334620;3337000;"someone gave it to me."
695;3337000;3340470;"i wear it sometimes as kind of a lucky charm."
696;3342580;3344030;"who was it"
697;3346150;3351970;"it's late. why don't you go down and take a bath too sure wait."
698;3354300;3357100;"yeah. someone who makes these"
699;3357100;3359100;"they once told me something."
700;3359100;3362100;"the cords represent the flow of time."
701;3362100;3363870;"they twist and tangle"
702;3363870;3365680;"unravel and connect"
703;3365680;3368710;"and that's what time is."
704;3370320;3371690;"maybe if i could "
706;3397820;3399720;"taki"
707;3399730;3401700;"taki."
708;3401700;3404710;"taki"
709;3404710;3406620;"don't you remember"
711;3429110;3430110;"taki"
712;3454560;3456730;"eat this bento up there."
713;3457720;3461990;"your drawing of itomori. you did a real good job."
714;3499370;3501860;"they assemble and take shape"
715;3501860;3503600;"they twist tangle"
716;3503600;3505280;"unravel now and then"
717;3505280;3506050;"break"
718;3506050;3507980;"and reconnect."
719;3508610;3510490;"that's what a union is."
720;3510490;3512920;"what time is."
721;3523910;3526370;"there it is."
722;3527400;3528990;"it's really there"
723;3529940;3531080;"it wasn't"
724;3531080;3533380;"a dream."
725;3563410;3566990;"what lies ahead is the netherworld."
726;3589470;3591690;"it's still here."
727;3592800;3597380;"this was yotsuha's and this was mine."
728;3599410;3601270;"this was before the comet."
729;3601780;3603980;"so when i switched places with her"
730;3604300;3607010;"it was also three years in the past."
731;3608250;3612020;"our times got tangled somehow."
732;3612750;3615580;"this is half of her."
733;3629850;3630970;"musubi"
734;3632220;3636020;"if it's true and time can be unraveled"
735;3636020;3639070;"just give me one more chance."
736;3649290;3650940;"agh"
737;3652780;3655000;"a comet"
738;3661030;3664030;"ngh hh"
739;3716790;3720930;" your name's going to be"
740;3720930;3722180;"mitsuha."
741;3728670;3731040;"both of you are my treasures."
742;3731040;3734140;"you're going to be a big sister"
744;3736060;3740310;"i'm so sorry my dears"
745;3740770;3743980;"dad when is mommy coming home"
746;3744760;3748080;"i couldn't help her get ahold of yourself"
747;3748080;3751350;"who cares about the shrine but you're in charge now"
748;3751350;3755260;"i loved futaba not miyamizu shrine get out"
749;3758550;3760540;"now listen to me girls."
750;3760540;3764980;"starting today you'll be living with grandma."
752;3769220;3771800;"who are you"
755;3771800;3773290;"don't be full of yourself"
756;3773290;3775380;"like you have a girlfriend"
757;3775380;3776800;"must be nice."
758;3776800;3779310;"they've probably met up about now."
759;3780480;3781830;"why am i"
760;3781830;3786090;"i'm going to tokyo. what wait sis"
761;3787540;3789050;"grandma"
762;3789050;3792080;"would you mind doing me a favor"
763;3792080;3795100;"oh yeah the comet."
764;3795100;3798170;"it'll be at its brightest today right"
765;3798170;3800570;"mitsuha don't go there"
766;3801230;3802620;"mitsuha"
767;3802620;3806070;"you've gotta get out of town before the comet strikes"
768;3808160;3810600;"mitsuha run"
769;3810660;3817340;"mitsuha mitsuha mitsuha"
770;3833860;3835350;"mitsuha."
771;3835350;3837980;"she's alive"
772;3847510;3849580;"let me guess you're touching your boo "
773;3850930;3854770;" her sister"
774;3856140;3858330;"yotsuha"
775;3858330;3859350;"ungh"
776;3861670;3864170;"i think she's finally lost it."
777;3864170;3867540;"just for today i i'm gonna head out first"
778;3867540;3868860;"she's lost it"
779;3868860;3870070;"really lost it"
780;3870070;3871410;"totally"
781;3871410;3872660;"totally"
782;3872660;3878410;"for all you stargazers out there the comet tiamat has been visible to the naked eye for about a week now."
783;3878410;3884770;"tonight it will finally reach its perigee around seven fourty pm and be at its maximum brightness when viewed from the earth's"
784;3884770;3887730;"it's tonight there's still time left"
785;3888160;3890220;"mornin' mitsuha"
786;3890220;3892510;"what's this"
787;3892510;3893850;"hold on"
788;3893850;3897690;"you're not mitsuha are you w wait how did you "
789;3898120;3900170;"you already knew"
790;3900170;3907200;"no but watching the way you've been behaving lately stirred some memories up."
791;3907550;3909890;"when i was a young girl"
792;3909890;3913010;"i had some pretty strange dreams myself."
793;3913010;3913810;"huh"
794;3913810;3920710;"though it's been so long the memories of who i became in those dreams have pretty much faded at this point."
795;3920710;3921940;"faded"
796;3921960;3927230;"treasure the experience. dreams eventually will fade away."
797;3927230;3930050;"i went through similar times myself"
798;3930050;3932700;"and so did your mother."
799;3933200;3934310;"what if"
800;3934310;3936960;"all those dreams that the miyamizu people had"
801;3936960;3939300;"it had to do with today"
802;3939950;3942720;"grandma you have to listen to me"
803;3943040;3944490;"tonight"
804;3944490;3946800;"the comet is going to fall on itomori"
805;3946800;3949190;"you're all gonna die huh"
806;3955390;3957390;"nobody's gonna believe that"
807;3957390;3960340;"i didn't expect that out of mitsuha's grandma."
808;3960340;3964270;"it doesn't matter there's no way i'm gonna let them all die"
809;3964820;3966280;"mitsuha"
810;3966280;3967820;"what happened to "
811;3969150;3970550;"what'd you "
812;3970550;3971520;"your hair"
813;3971520;3976000;"ugh the haircut looked better before huh no i i it's good"
814;3976000;3980690;"nevermind that if we don't do something about tonight we'll all die"
815;3982410;3985400;"it's up to us to save everyone"
816;3989350;3991410;"wait shouldn't you be in school"
817;3991410;3996120;"well we sort of have to save the town or something."
818;3996120;3997120;"heh"
819;3997820;4001380;"the warning system yeah those speakers all over the town."
821;4005400;4008280;"i get it. it could work"
822;4008280;4012540;"niiiice job teshi. hey i don't think you should be sittin' so close to me."
823;4012540;4016150;"what's wrong. uh oh you shyyy would you quit it"
824;4016150;4018400;"it ain't proper and you know it"
826;4019680;4021830;"t hahahahaha"
827;4021830;4025130;"such a gentleman."
828;4026060;4028000;"i bought all the snacks guys."
829;4028000;4030470;"here's the change. sorry for the trouble."
830;4030470;4031470;"i didn't mind."
831;4031590;4034660;"we oughta be gettin' paid. quit complaining."
832;4035500;4037670;"so wha'dcha come up with"
833;4037670;4040080;"got an evacuation plan"
834;4043090;4044610;"a a "
835;4044610;4046020;"a bomb"
836;4046020;4050370;"yeah we have water gel explosives we use for construction at our storage site."
837;4050370;4053010;"and the warning system"
838;4053360;4057150;"our startup frequency can hijack the town's warning system pretty easily"
839;4057150;4061340;"so we can broadcast an evacuation warning for the whole town right from school"
840;4061380;4063690;"look we're outside the disaster area here"
841;4063690;4066460;"so we'll just make an announcement to evacuate to the school."
842;4066460;4067770;"it's "
843;4067770;4070970;"it's totally a crime you'll be in charge of the broadcast saya."
844;4070970;4073460;"why me you're in the broadcast club."
845;4073590;4077250;"and i'll be in charge of the explosives. while i go have a word with the mayor."
846;4077250;4082140;"why 'cause if the evacuation order's not comin' from town hall then nobody's gonna go anyway."
847;4082140;4085470;"but if i talk to the mayor as his daughter i can convince him."
848;4085470;4088120;"it's the perfect plan"
849;4088700;4091300;"fine i don't really care one way or the other."
850;4091300;4094190;"this is just a theory of yours right"
851;4094800;4095810;"well"
852;4095810;4101590;"theories can be based on reality. like do you know the story of how itomori lake was formed it's a crater"
854;4101590;4108090;"that means a meteor hit this area at least once a thousand years ago right. that's why "
855;4108090;4109890;"nice one teshi"
856;4113620;4115520;"let's go evacuate the town"
857;4119700;4122710;"mitsuha' what on earth are you talking about"
858;4123720;4125040;"like i said"
859;4125040;4130000;"we have to evacuate everyone in town before tonight or else enough shut up"
860;4134580;4138470;"the comet's going to split in two and strike the town"
862;4138470;4141140;"over five hundred will die"
863;4141140;4144620;"how dare you stand there and spout such nonsense"
864;4145110;4148030;"if you're serious you must be sick"
865;4148030;4152000;"i guess recklessness is a miyamizu trait."
866;4152820;4156450;"i'll have a car take you to the city hospital for an examination."
867;4156450;4160380;"we will continue this discussion after you've seen a doctor."
868;4161820;4163880;"you"
869;4164570;4168010;"you son of a "
870;4174440;4176000;"mitsuha' mitsuha"
871;4177020;4178390;"no"
872;4178970;4180410;"wait a minute"
873;4181520;4183590;"who are you"
874;4198000;4201950;"i'll see you guys at the festival ba bye we'll meet ya at the step stone shrine. don't be late k"
875;4201950;4204910;"ba bye seeya later"
876;4206030;4207710;"you shouldn't go"
877;4207710;4211880;"you've got to leave town tell all of your friends what's wrong with you"
878;4211880;4215300;"mitsuha what was that about come on let's go."
879;4215300;4217700;"what are you doing huh"
880;4218060;4220030;"if it was mitsuha"
881;4220030;4222320;"would she have been able to convince him"
882;4222320;4224190;"is all this my fault huh"
883;4224190;4227930;"yotsuha promise me that you'll leave town with grandma before dark"
884;4227930;4228570;"what"
885;4228570;4231670;"you're gonna die if you stay here what are you talking about"
886;4231670;4237530;"and why did you suddenly go to tokyo yesterday you've been acting really strange lately"
887;4238300;4242750;"went to tokyo hey mitsuha"
888;4244700;4246960;"how'd it go with your old man"
889;4248810;4251250;"hey mitsuha"
890;4251250;4252900;"what's with your sister"
891;4252900;4255280;"don't know."
892;4264070;4266410;"could she be over there"
893;4266580;4268890;"what's that what's over there"
894;4269210;4272030;"let me use your bike teshi. hey."
895;4272030;4274040;"mitsuha."
896;4274350;4276060;"and what do we do"
897;4276060;4278200;"get things ready like we planned"
898;4278200;4280930;"i'm counting on you"
899;4306360;4309010;"oh my gosh i'm taki again"
900;4312090;4314630;"what's taki doin' out here"
901;4323710;4325480;"the town"
902;4325480;4327370;"it's gone"
903;4336780;4338000;"so"
904;4338540;4340000;"does that mean"
905;4342350;4344910;"i died"
906;4354800;4356710;"taki."
907;4356710;4359020;"taki"
908;4360140;4361800;"don't you remember"
909;4374520;4376550;"i'm going to tokyo for a few hours."
910;4376550;4378370;"wha right now"
911;4378370;4379800;"but why uh"
912;4379800;4381210;"for a date."
913;4381210;4385320;"you have a boyfriend in tokyo i i didn't say it was a date for me."
914;4386730;4389000;"i'll be back tonight."
915;4391440;4397000;"if i suddenly show up will it be a nuisance or a surprise"
916;4397000;4400000;"he might not like it if i do."
917;4407060;4411370;"the number you are trying to reach is currently outside the cellular network."
918;4411370;4414620;"i guess it won't happen but"
919;4414620;4416640;"what if it did"
920;4416640;4418590;"what would i do"
921;4418590;4420640;"would i annoy him"
923;4420640;4424750;"would it be awkward or maybe"
924;4424750;4427990;"he'd be glad to see me."
925;4428300;4432590;"the number you are trying to reach is currently outside the cellular network."
926;4433350;4435870;"i guess we won't meet."
927;4436970;4441860;"but there's one thing i'm certain of."
928;4442330;4444520;"if we see each other"
929;4444520;4447320;"we'll definitely know right away"
930;4447840;4451530;"that you were the one who was in me"
931;4451530;4454800;"and that i was the one who was in"
932;4454800;4456550;"you. sorry"
933;4487860;4490000;"'scuse me."
934;4509740;4512000;"agh"
935;4521410;4522630;"that time"
936;4522630;4524230;"three years ago."
937;4524230;4526290;"before i even knew you"
938;4529490;4531830;" taki"
939;4531830;4534800;"taki"
940;4534800;4537010;"taki huh"
941;4537130;4540000;"uh it's me"
942;4541710;4544410;"don't you remember uh"
943;4545110;4548010;"sorry who are you"
944;4551610;4553470;"i i'm sorry."
945;4556690;4558000;"ah"
946;4560740;4563000;"but he's taki"
947;4563750;4564960;"what a weird girl."
948;4565190;4569070;"yotsuya. yotsuya. stay clear of the doors."
949;4574110;4575620;"hold on huh"
950;4575870;4577620;"egh what's your name"
951;4578410;4580100;"mitsuha"
952;4580100;4581360;"my name is"
953;4581360;4583480;"mitsuha"
954;4588980;4591230;"three years ago"
955;4591230;4593230;"you showed up."
956;4593230;4597010;"it was to see me"
957;4607590;4609940;"taki."
958;4617500;4620360;" mitsuha"
959;4620360;4622690;"taki"
960;4636290;4638340;"mitsuha"
961;4638340;4640500;"you're here right"
962;4640500;4642520;"inside my body"
963;4642520;4644730;"taki"
964;4644730;4647080;"taki where are you"
965;4647080;4649250;"that was mitsuha."
966;4649250;4651140;"i can hear her voice but"
967;4652090;4654850;"taki where are you"
968;4655250;4657200;"taki"
969;4661930;4662940;"uh huh"
970;4669640;4674890;"are you there"
971;4699840;4701050;"magic hour. magic hour."
972;4703730;4705020;"uh"
973;4715890;4716910;"mitsuha."
974;4723600;4724850;"taki."
975;4725760;4727000;"taki"
976;4727570;4729730;" you're really here"
977;4733930;4737080;"taki i came all this way to see you"
978;4737260;4739150;"which wasn't easy"
979;4739150;4741630;"since you were pretty far away."
980;4742750;4744560;"how is that even"
981;4744560;4746210;"because back then"
982;4746210;4749400;"well i drank some of your kuchikamizake."
983;4749440;4751370;"huh"
984;4751370;4753050;"oh"
985;4753050;4755210;"you you drank that"
986;4755210;4755940;"huh"
987;4755940;4758240;"stupid pervert wha wha"
988;4758240;4761250;"yeah that's right you were touching my boobies weren't you"
989;4761250;4762120;"wha "
990;4762120;4764950;"wha ho how do you even 'cause yotsuha saw you"
991;4764950;4767440;"i just i couldn't help myself"
992;4767440;4770680;"but it was just the one time just the one time"
993;4772820;4775350;"how many times is it the issue"
994;4775350;4776740;"sorry"
995;4776740;4777940;"wait"
996;4777940;4779040;"is that"
997;4779510;4780220;"oh."
998;4780220;4783700;"yeah it's yours but you visited before i knew you."
999;4783700;4785980;"so i didn't know who you were."
1000;4786380;4787910;"here."
1001;4787910;4790300;"i kept it for three years"
1002;4790300;4794000;"but i think it's time you got it back."
1003;4802770;4805530;"whaddya think oh uh well"
1004;4805530;4810100;"it's not bad. oh you're lyin'"
1005;4810100;4810810;"busted"
1006;4810810;4813390;"why you gotta be like that"
1007;4827380;4829120;"hey mitsuha."
1008;4829120;4831200;"you still have a lot to do."
1009;4831200;4832760;"listen."
1010;4832760;4835410;"it's coming. don't worry."
1011;4835410;4837760;"you still have enough time.  "
1012;4837760;4839700;"i'll do my best."
1013;4840620;4843410;"it looks like magic hour is almost"
1014;4843410;4845010;"over."
1015;4846750;4848270;"hey mitsuha."
1016;4848270;4851560;"just so we don't forget things when we wake up"
1017;4855280;4857990;"let's write down our names."
1018;4857990;4860150;"here."
1019;4870920;4872970;"mitsuha."
1020;4874770;4876120;"hey."
1021;4876120;4878120;"mitsuha"
1022;4885550;4887990;"i was planning to tell you"
1023;4888810;4890890;"that wherever you are in the world"
1024;4890890;4895020;"i swear that i'll find you again no matter what."
1025;4897480;4898560;"your name"
1026;4898560;4900550;"is mitsuha."
1027;4901130;4902360;"it'll be okay"
1028;4902360;4903920;"i'll remember"
1029;4903920;4904660;"mitsuha."
1030;4904820;4905620;"mitsuha."
1031;4905620;4906610;"mitsuha"
1032;4906610;4908040;"your name is mitsuha"
1033;4908040;4909310;"your name is "
1034;4920530;4922040;"who"
1035;4922040;4924040;"are you"
1036;4925090;4926180;"and what"
1037;4926180;4928930;"did i even come here for"
1038;4928930;4929910;"i came"
1039;4929910;4932180;"i came all this way to see her"
1040;4932180;4933930;"i came to save her"
1041;4933930;4936110;"i wanted her to be alive"
1042;4936110;4937610;"who was it again"
1043;4937610;4938640;"who"
1044;4938640;4940590;"who did i come to see"
1045;4940590;4942170;"someone precious"
1046;4942170;4944600;"someone i don't wanna forget"
1047;4944600;4946750;"someone i shouldn't"
1048;4946750;4948170;"who was it"
1049;4948170;4949750;"who was it"
1050;4949750;4950640;"who"
1051;4950890;4951890;"who"
1052;4951890;4954730;"what's your name"
1053;4968440;4969730;"taki."
1054;4969730;4970810;"taki."
1055;4970810;4972220;"taki."
1056;4972220;4973470;"it'll be fine"
1057;4973470;4974670;"i remember"
1058;4974670;4976410;"i'll never forget"
1059;4976410;4977470;"taki."
1060;4977590;4978850;"taki."
1061;4978850;4980140;"your name is"
1062;4980140;4982990;"taki"
1064;4996370;4997860;"teshi"
1065;4997860;4998860;"mitsuha"
1066;4999310;5002680;"where the heck have you been he said sorry for breakin' your bike."
1067;5002680;5004440;"wha who did"
1068;5004440;5006000;"i did"
1069;5006580;5009530;"you're gonna have to explain it to me later."
1070;5013320;5015310;"that thing is gonna fall right"
1071;5015310;5018500;"for real for real. i saw it with my own eyes."
1072;5018500;5021310;"what you did huh"
1073;5021310;5024040;"well i guess it's settled then."
1074;5024040;5026460;"we're both officially criminals."
1076;5027890;5031260;"what do i really have to"
1077;5031260;5035360;"once the town's power goes out the emergency generator should kick in right away."
1078;5035360;5037540;"use the broadcast equipment once it does."
1079;5037540;5040920;"don't be scared saya and repeat it as many times as you can"
1080;5040920;5042300;"woo hoo"
1081;5042300;5047250;"you can do it aw nuts it's do or die"
1082;5053090;5056280;"shouldn't it be goin' off hell if i know"
1083;5064770;5066850;"oooh ha ha"
1084;5067110;5069020;"what was that it was pretty loud too."
1085;5069020;5070960;"look over there"
1086;5095350;5098990;"hey look up there whoa"
1087;5106660;5110050;"this is itomori town hall"
1088;5110050;5115000;"reports of an explosion at the substation are coming in an explosion did i hear that right"
1089;5115000;5119560;"wildfires are possible as well as the threat of more explosions"
1090;5119560;5125840;"residents in the followin' areas please evacuate to itomori high school immediately."
1091;5126320;5128550;"kadoiri district."
1092;5128550;5131160;"sakagami district honey we should go."
1093;5131160;5134610;"the broadcast isn't coming from us well who the hell is it then"
1094;5134610;5136730;"miyamori district."
1095;5137390;5139910;"oyazawa district."
1096;5139990;5142180;"let's go mitsuha"
1097;5143600;5145010;"teshi"
1098;5151150;5156590;"everyone run there's a wildfire wildfire please run"
1099;5156590;5161440;"get outta here run there's a fire it's not safe here please evacuate"
1100;5161630;5164090;"it's not workin' we're runnin' out of time"
1101;5164090;5166600;"mitsuha  "
1102;5166600;5168000;"what's wrong"
1103;5168500;5170570;"what is it"
1104;5170570;5173980;"i can't remember what his name is anymore"
1105;5175300;5179160;"what is with you you're the one who started all of this"
1106;5179160;5182640;"we can't evacuate everyone without firefighters"
1107;5182640;5185900;"get goin' you gotta convince your old man"
1108;5193210;5197100;"everybody get to the high school hurry"
1109;5199030;5200990;"oh it's mitsuha."
1110;5203760;5208700;"why would terrorists attack way out here what is chubu electric saying they're still checking."
1111;5208700;5211210;"any update no wildfires yet"
1112;5211210;5213300;"you sure got it."
1113;5214460;5218440;"make them stop this broadcast immediately haven't you located its source yet"
1114;5218440;5221390;"mayor the takayama sensor station just called"
1115;5222490;5224040;"from the high school"
1116;5224180;5229780;"once again residents in the following areas please evacuate to itomori high"
1117;5229780;5232660;"ah what are you doing turn that off"
1118;5235200;5237600;"they got saya oh no."
1119;5240900;5243780;"what were you thinking natori i swear"
1120;5247270;5250780;"this is itomori town hall."
1121;5250780;5255310;"we are currently confirming the reports of the accident."
1122;5255490;5262180;"we instruct all residents to remain calm and stay where they are until further notice. i guess we have to stay put"
1123;5262430;5264700;"what is goin' on so stay on standby."
1124;5265500;5270360;"come on they said everyone should evacuate the high school's the evacuation center"
1125;5270360;5272500;"katsuhiko"
1126;5274760;5275740;"tell me"
1127;5275740;5278510;"what do you think you're doing"
1128;5280700;5282490;"sorry mitsuha."
1129;5283480;5285440;"this is the end."
1130;5287020;5288520;"oh my god"
1131;5288520;5291330;"it's actually splittin' apart"
1132;5297710;5303890;"look at that the comet has split into two large parts and meteors are now falling to earth"
1133;5304140;5308380;"uh i don't believe anyone could have predicted this. either way we have quite the mystical view here."
1134;5308380;5311870;"so what does the comet's nucleus splitting mean for us"
1135;5311870;5317690;"the comet's not within the roche limit so the nucleus itself must've had a structural weakness for this to happen."
1136;5317690;5322520;"comet shoemaker levy nine broke apart and collided with jupiter in nineteen ninety four."
1137;5323060;5325220;"there were at least twenty one fragments i'm going outside to take a look."
1138;5325220;5328650;"the fragments will likely burn up well before reaching the ground. does it pose a danger"
1139;5328650;5333020;"probability of a meteor actually landing on a populated area is quite small."
1140;5333020;5334650;"never foresaw this development."
1141;5334650;5338770;"to predict the trajectory as we stand here witnessing this spectacle"
1142;5338770;5340270;"unassisted"
1143;5340270;5341590;"and with our bare eyes"
1144;5341590;5346970;"it strikes me that living in such an age has never felt more fortunate than now."
1145;5349580;5350700;"hey"
1146;5351210;5352310;"who"
1147;5352310;5354000;"are you"
1148;5356830;5358200;"who"
1149;5358560;5360240;"who"
1150;5360330;5362260;"who is he"
1151;5362260;5364030;"someone precious."
1152;5364030;5366020;"someone i shouldn't forget"
1153;5366020;5368740;"someone i didn't want to"
1154;5368740;5370430;"who"
1155;5370430;5371510;"who"
1156;5371510;5373410;"who are you"
1157;5373410;5376150;"what's your name"
1158;5381010;5382460;"oh no"
1159;5382520;5383880;"ah argh"
1160;5387660;5388780;"ungh"
1161;5401840;5404410;"so that we don't forget things when we wake up"
1162;5404410;5406990;"let's write down our names."
1164;5433580;5435160;"writing this"
1165;5435160;5436790;"doesn't help"
1166;5436790;5439090;"i won't know your name"
1167;5452080;5454280;"dad"
1168;5454830;5456900;"mitsuha. there you are"
1169;5456900;5459110;"don't tell me you're back"
1170;5459110;5461000;"ah"
1171;5463000;5466090;"it was almost like seeing something out of a dream."
1172;5466510;5468340;"nothing more or less"
1173;5468340;5470700;"than a breathtaking view."
1174;5470700;5475110;"words like tomorrow or future or fate"
1175;5475110;5478910;"no matter how far they extend their hands"
1176;5478910;5482720;"we breathe we dream we raise our love"
1177;5482720;5486860;"in a timeless land that is far out of reach."
1178;5486860;5490530;"even the second hour hands of the clock."
1179;5490530;5494550;"they look at us sideways as they tick and tock."
1180;5494550;5499410;"how i hope to have forever to spend this life"
1181;5499410;5501830;"no all future lives"
1182;5501830;5509630;"right here in this world with you"
1183;5562390;5563850;"huh"
1184;5564310;5565880;"why am i here"
1185;5567170;5569980;"what am i doing"
1186;5588570;5589680;"u uh"
1187;5594310;5598010;"the doors are closing. please be careful."
1188;5600600;5603400;"i'm always searching for something."
1189;5603400;5607030;"this feeling has consumed me"
1190;5607030;5608990;"for some time."
1191;5610290;5612350;"the reason i applied for this position "
1192;5612350;5613890;"the landscapes people live in "
1193;5613890;5615840;"to build a city's landscape "
1194;5615840;5618800;"even tokyo. it might vanish too one day."
1195;5618800;5623210;"and so i wanna make landscapes that how should i put this"
1196;5623210;5626700;"that can continue to warm peoples' hearts."
1197;5628340;5630650;"that bad how many does that make it"
1198;5630650;5633400;"i've stopped counting. doesn't sound too promising."
1199;5633400;5635990;"who asked you that suit could be the problem."
1200;5635990;5637760;"it looks just like yours"
1201;5637760;5641170;"well i have two offers. i have eight myself."
1203;5646290;5648380;"is what i'm searching for"
1204;5648380;5649880;"someone"
1205;5649880;5651370;"or somewhere"
1206;5652110;5655390;"or am i just searching for the right job"
1207;5655390;5657320;"i don't even really know."
1208;5658030;5659220;"oh"
1209;5659220;5663100;"you're job hunting huh i haven't had much luck though."
1210;5663100;5667950;"hey maybe it's the suit that's killing your chances. uh does it really look that bad on me"
1211;5672250;5674850;"so why the sudden call today"
1212;5674850;5680010;"i was in the area for work and i figured it had been a while since i saw your face."
1214;5682130;5686070;"remember that one time when we went all the way to itomori"
1215;5686070;5689350;"you were still in high school back then so it was"
1216;5689350;5692580;"heh. five years ago. that long"
1217;5693160;5694530;"it seems like"
1218;5694530;5697130;"i've forgotten a lot."
1219;5697410;5699950;"i don't remember all that much either."
1220;5699950;5701700;"about back then."
1221;5702090;5704200;"maybe we argued."
1222;5704200;5707460;"she and tsukasa went back to tokyo without me."
1223;5707980;5711010;"i spent the night alone on some mountain."
1224;5711670;5713980;"that's about all i remember."
1225;5716340;5723330;"but at one point in time i found myself strangely drawn to the incident involving that comet."
1226;5725500;5729000;"a fragment of the comet destroyed a town in that disaster"
1228;5729460;5731000;"but miraculously"
1229;5731000;5734210;"most of the people living in the town were unhurt."
1230;5734670;5738010;"the town happened to be holding an emergency drill that day"
1233;5738020;5741380;"and most of its residents were outside the impact zone."
1236;5742610;5747600;"the sheer luck and coincidence of it all sparked various conspiracy theories."
1238;5748360;5751130;"i read a lot articles about it back then."
1240;5751130;5752990;"i was kind of obsessed."
1241;5753640;5759000;"but whatever the reason i had for my interest is a mystery to me now."
1242;5760350;5763000;"i didn't even know anybody in that town."
1243;5766370;5769100;"thanks for today. this is far enough."
1244;5770240;5772080;"i do hope"
1245;5772080;5773980;"that at some point"
1246;5773980;5776980;"you'll find happiness too."
1247;5779760;5782690;"i feel like i'm always searching."
1248;5782690;5784430;"for something."
1249;5784430;5786020;"someone."
1251;5797090;5800240;"i feel like i do wanna go to one more bridal fair."
1252;5800240;5801640;"they're all the same"
1253;5801640;5806620;"a shinto weddin' sure sounds nice too you said you wanted to be married in a chapel"
1254;5806620;5808710;"oh that reminds me teshi uh"
1255;5808690;5813380;"would ya please shave before the ceremony i'm goin' on a diet for it you know."
1256;5813380;5815500;"she says as she's eatin' a cake"
1257;5815500;5818710;"i'll get serious tomorrow. uh"
1263;5876440;5879650;"the landscape of a town that's no longer there."
1264;5879650;5883940;"why does looking at it make my chest feel so tight"
1265;5920490;5923020;"now just a little more"
1266;5923020;5926200;"only just a little more."
1267;5926200;5932310;"let's stay here a little longer now."
1268;5932310;5934490;"just a little more"
1269;5934490;5937730;"only just a little more."
1270;5937730;5942230;"let's stick together just a little bit longer."
1271;5943750;5945980;"just a little more"
1272;5945980;5949150;"only just a little more."
1273;5949150;5954340;"let's stay here a little longer now."
1274;5954870;5957360;"now just a little more"
1275;5957360;5960510;"only just a little more."
1276;5960510;5963930;"let's stick together just a little bit longer."
1277;5963930;5968220;"searching for"
1278;5968220;5969370;"someone"
1279;5969370;5971630;"oh yes we are time fliers"
1280;5971630;5974500;"scaling the walls of time. climber"
1281;5974500;5979210;"tired of playing hide and seek with time and"
1282;5979210;5981330;"always comin' dead short."
1283;5981330;5983140;"i'll never let you go now"
1284;5983140;5985630;"promise i will never let you go now"
1285;5985630;5988340;"'cause my hand finally has reached yours"
1286;5988340;5991010;"why should i have to"
1287;5992420;5994590;"oh you're sure quite a showy crier."
1288;5994590;5995950;"wanna stop your tears"
1289;5995950;5997440;"see your eyes drier."
1290;5997440;6000660;"but when i went to wipe your tears dry"
1291;6000660;6004200;"you refused but i saw them pouring down your face i knew why."
1292;6004200;6005900;"crying even when you're happy"
